numberOfInstances,combination,nodeName,podName,energyConsumption
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod1,160.788
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod2,160.461
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod3,163.398
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod4,162.327
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod5,157.839
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod6,160.386
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod7,161.055
8,8kind-worker-0kind-worker2,kind-worker,instances8-8kind-worker-0kind-worker2-pod8,158.739
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod1,157.611
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod2,158.535
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod3,156.402
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod4,156.726
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod5,154.449
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod6,157.398
8,7kind-worker-1kind-worker2,kind-worker,instances8-7kind-worker-1kind-worker2-pod7,153.291
8,7kind-worker-1kind-worker2,kind-worker2,instances8-7kind-worker-1kind-worker2-pod8,145.992
8,6kind-worker-2kind-worker2,kind-worker,instances8-6kind-worker-2kind-worker2-pod1,157.956
8,6kind-worker-2kind-worker2,kind-worker,instances8-6kind-worker-2kind-worker2-pod2,151.284
8,6kind-worker-2kind-worker2,kind-worker,instances8-6kind-worker-2kind-worker2-pod3,155.322
8,6kind-worker-2kind-worker2,kind-worker,instances8-6kind-worker-2kind-worker2-pod4,154.848
8,6kind-worker-2kind-worker2,kind-worker,instances8-6kind-worker-2kind-worker2-pod5,154.206
8,6kind-worker-2kind-worker2,kind-worker,instances8-6kind-worker-2kind-worker2-pod6,156.756
8,6kind-worker-2kind-worker2,kind-worker2,instances8-6kind-worker-2kind-worker2-pod7,98.373
8,6kind-worker-2kind-worker2,kind-worker2,instances8-6kind-worker-2kind-worker2-pod8,126.576
8,5kind-worker-3kind-worker2,kind-worker,instances8-5kind-worker-3kind-worker2-pod1,153.891
8,5kind-worker-3kind-worker2,kind-worker,instances8-5kind-worker-3kind-worker2-pod2,149.133
8,5kind-worker-3kind-worker2,kind-worker,instances8-5kind-worker-3kind-worker2-pod3,149.913
8,5kind-worker-3kind-worker2,kind-worker,instances8-5kind-worker-3kind-worker2-pod4,153.669
8,5kind-worker-3kind-worker2,kind-worker,instances8-5kind-worker-3kind-worker2-pod5,148.389
8,5kind-worker-3kind-worker2,kind-worker2,instances8-5kind-worker-3kind-worker2-pod6,142.974
8,5kind-worker-3kind-worker2,kind-worker2,instances8-5kind-worker-3kind-worker2-pod7,114.213
8,5kind-worker-3kind-worker2,kind-worker2,instances8-5kind-worker-3kind-worker2-pod8,153.537
8,4kind-worker-4kind-worker2,kind-worker,instances8-4kind-worker-4kind-worker2-pod1,142.704
8,4kind-worker-4kind-worker2,kind-worker,instances8-4kind-worker-4kind-worker2-pod2,131.739
8,4kind-worker-4kind-worker2,kind-worker,instances8-4kind-worker-4kind-worker2-pod3,131.778
8,4kind-worker-4kind-worker2,kind-worker,instances8-4kind-worker-4kind-worker2-pod4,154.494
8,4kind-worker-4kind-worker2,kind-worker2,instances8-4kind-worker-4kind-worker2-pod5,126.624
8,4kind-worker-4kind-worker2,kind-worker2,instances8-4kind-worker-4kind-worker2-pod6,145.041
8,4kind-worker-4kind-worker2,kind-worker2,instances8-4kind-worker-4kind-worker2-pod7,148.014
8,4kind-worker-4kind-worker2,kind-worker2,instances8-4kind-worker-4kind-worker2-pod8,134.424
8,3kind-worker-5kind-worker2,kind-worker,instances8-3kind-worker-5kind-worker2-pod1,139.989
8,3kind-worker-5kind-worker2,kind-worker,instances8-3kind-worker-5kind-worker2-pod2,150.081
8,3kind-worker-5kind-worker2,kind-worker,instances8-3kind-worker-5kind-worker2-pod3,146.697
8,3kind-worker-5kind-worker2,kind-worker2,instances8-3kind-worker-5kind-worker2-pod4,123.708
8,3kind-worker-5kind-worker2,kind-worker2,instances8-3kind-worker-5kind-worker2-pod5,151.803
8,3kind-worker-5kind-worker2,kind-worker2,instances8-3kind-worker-5kind-worker2-pod6,151.056
8,3kind-worker-5kind-worker2,kind-worker2,instances8-3kind-worker-5kind-worker2-pod7,132.441
8,3kind-worker-5kind-worker2,kind-worker2,instances8-3kind-worker-5kind-worker2-pod8,156.528
8,2kind-worker-6kind-worker2,kind-worker,instances8-2kind-worker-6kind-worker2-pod1,152.907
8,2kind-worker-6kind-worker2,kind-worker,instances8-2kind-worker-6kind-worker2-pod2,150.105
8,2kind-worker-6kind-worker2,kind-worker2,instances8-2kind-worker-6kind-worker2-pod3,140.538
8,2kind-worker-6kind-worker2,kind-worker2,instances8-2kind-worker-6kind-worker2-pod4,138.546
8,2kind-worker-6kind-worker2,kind-worker2,instances8-2kind-worker-6kind-worker2-pod5,145.992
8,2kind-worker-6kind-worker2,kind-worker2,instances8-2kind-worker-6kind-worker2-pod6,144.615
8,2kind-worker-6kind-worker2,kind-worker2,instances8-2kind-worker-6kind-worker2-pod7,134.337
8,2kind-worker-6kind-worker2,kind-worker2,instances8-2kind-worker-6kind-worker2-pod8,153.591
8,1kind-worker-7kind-worker2,kind-worker,instances8-1kind-worker-7kind-worker2-pod1,150.342
8,1kind-worker-7kind-worker2,kind-worker2,instances8-1kind-worker-7kind-worker2-pod2,141.354
8,1kind-worker-7kind-worker2,kind-worker2,instances8-1kind-worker-7kind-worker2-pod3,143.349
8,1kind-worker-7kind-worker2,kind-worker2,instances8-1kind-worker-7kind-worker2-pod4,152.388
8,1kind-worker-7kind-worker2,kind-worker2,instances8-1kind-worker-7kind-worker2-pod5,153.585
8,1kind-worker-7kind-worker2,kind-worker2,instances8-1kind-worker-7kind-worker2-pod6,143.232
8,1kind-worker-7kind-worker2,kind-worker2,instances8-1kind-worker-7kind-worker2-pod7,146.769
8,1kind-worker-7kind-worker2,kind-worker2,instances8-1kind-worker-7kind-worker2-pod8,143.295
8,0kind-worker-8kind-worker2,kind-worker2,instances8-0kind-worker-8kind-worker2-pod1,145.854
8,0kind-worker-8kind-worker2,kind-worker2,instances8-0kind-worker-8kind-worker2-pod2,128.73
8,0kind-worker-8kind-worker2,kind-worker2,instances8-0kind-worker-8kind-worker2-pod3,144.498
8,0kind-worker-8kind-worker2,kind-worker2,instances8-0kind-worker-8kind-worker2-pod4,130.896
8,0kind-worker-8kind-worker2,kind-worker2,instances8-0kind-worker-8kind-worker2-pod5,143.124
8,0kind-worker-8kind-worker2,kind-worker2,instances8-0kind-worker-8kind-worker2-pod6,146.397
8,0kind-worker-8kind-worker2,kind-worker2,instances8-0kind-worker-8kind-worker2-pod7,119.409
8,0kind-worker-8kind-worker2,kind-worker2,instances8-0kind-worker-8kind-worker2-pod8,146.853
